Oxford Radcliffe - mean monthly temperature °C (mean of maximum and minimum),,,,,,,,,,,,,,,,,,,,Updated to Dec 2025 data
,Includes seasonal corrections 1815-52,,,,,,"except 1814 - 3 daily obs, adjusted diurnally",,,,,,,,,,,,,
1845,3.55,0.28,2.09,8.73,10.09,15.99,15.53,14.5,11.7,9.69,6.99,4.25,8.66,1845,1.41,6.97,15.34,9.46,,
1846,6.56,6.54,6.38,8.43,13.13,18.49,17.82,17.17,15.27,9.89,7.14,0.11,10.59,1846,5.78,9.31,17.83,10.77,,
1847,1.8,1.79,5.42,6.94,13.29,14.22,18.43,16.27,11.69,11.59,7.76,5.3,9.6,1847,1.23,8.55,16.31,10.35,,
1848,1.1,6.34,6.28,8.84,14.44,15.17,16.73,14.83,13.34,10.26,5.74,5.67,9.9,1848,4.24,9.85,15.58,9.78,,
1849,4.16,5.44,6.41,6.91,13.14,14.81,16.26,16.81,14.2,10.96,5.69,2.61,9.81,1849,5.09,8.82,15.96,10.28,,
1850,0.02,6.21,3.41,9.44,10.61,15.54,16.62,15.01,12.19,7.77,7.06,3.95,8.98,1850,2.95,7.82,15.72,9.01,,
1851,5.26,3.78,5.49,7.34,11.04,15.23,15.39,16.53,12.51,11.19,2.63,4.19,9.26,1851,4.33,7.95,15.72,8.78,,
1852,4.62,4.15,4.2,7.09,10.35,13.7,18.7,16.65,13.83,8.84,9.5,9.04,10.08,1852,4.32,7.21,16.35,10.72,,
1853,5.91,1.31,4.01,9.08,12.06,16.09,16.68,15.52,12.84,10.68,5.6,1.18,9.29,1853,5.42,8.39,16.1,9.7,,
1854,4.11,4.29,6.74,9.28,10.96,14.15,16.61,15.81,14.32,9.78,5.13,5.2,9.73,1854,3.19,8.99,15.52,9.74,,
1855,2.02,-1.38,3.87,7.84,9.96,14.36,18.1,16.95,14.69,11.1,5.59,2.8,8.89,1855,1.95,7.22,16.47,10.46,,
1856,4.42,5.57,4.28,8.46,9.85,14.83,16.76,17.61,12.61,10.42,5.2,4.34,9.54,1856,4.26,7.53,16.4,9.41,,
1857,2.29,4.02,5.45,7.8,11.39,16.31,17.3,18.02,15.1,11.21,7.38,7.06,10.31,1857,3.55,8.21,17.21,11.23,,
1858,3.11,1.72,5.25,8.54,11.06,17.74,15.7,16.3,15.34,10.16,4.08,4.77,9.52,1858,3.96,8.28,16.58,9.86,,
1859,4.63,6.05,7.96,7.91,11.67,15.94,19.39,17.16,13.41,10.15,5.03,1.92,10.13,1859,5.15,9.18,17.5,9.53,,
1860,3.83,1.8,5.16,6.12,12.36,13.23,14.81,14.42,11.3,10.33,4.77,1.47,8.33,1860,2.52,7.88,14.15,8.8,,
1861,1.54,5.51,6.72,7.43,11.28,15.57,15.88,17.11,13.9,12.83,4.96,4.23,9.77,1861,2.84,8.48,16.19,10.56,,
1862,4.42,5.34,6.65,9.56,13.39,13.87,15.25,15.26,14.03,11.04,3.57,6.51,9.94,1862,4.66,9.87,14.79,9.55,,
1863,5.12,5.92,6.33,9.43,11.19,14.44,15.63,16.5,11.7,10.55,7.46,6.19,10.07,1863,5.85,8.98,15.53,9.9,,
1864,2.28,2.73,5.46,9.23,13.03,14.75,16.53,14.93,13.81,10.14,5.45,3.47,9.34,1864,3.73,9.24,15.4,9.8,,
1865,1.92,2.58,2.87,11.32,13.25,16.33,17.39,15.39,16.6,10.35,7.11,5.92,10.12,1865,2.66,9.14,16.37,11.35,,
1866,5.96,4.62,5.09,9.17,10.23,16.49,16.44,15.57,13.65,11.12,7.18,6.24,10.18,1866,5.5,8.16,16.16,10.65,,
1867,1.73,7.23,3.25,10.3,11.83,14.79,15.43,16.64,14.02,9.89,5,3.13,9.44,1867,5.07,8.46,15.62,9.63,,
1868,3.77,6.57,7,9.31,14.06,16.47,19.25,17.28,14.55,8.8,5.24,7.79,10.86,1868,4.49,10.13,17.67,9.53,,
1869,5.62,7.79,4.06,11.03,10.95,13.88,18.26,16.09,15.14,10.04,6.57,3.25,10.23,1869,7.07,8.68,16.08,10.58,,
1870,3.62,2.93,4.87,9.61,12.18,16.77,18.98,15.98,13.25,10.39,5.2,0.42,9.55,1870,3.27,8.89,17.24,9.61,,
1871,0.74,6.39,7.51,9.53,11.37,13.2,16.48,17.87,13.71,10.01,3.27,3.47,9.48,1871,2.52,9.47,15.85,9,,
1872,5.23,7.4,7.4,9.18,10.59,15.3,18.26,16.15,14.16,8.88,7.34,5.72,10.47,1872,5.37,9.06,16.57,10.13,,
1873,5.51,2.07,5.96,8.34,10.75,15.16,17.2,17.07,12.35,8.81,6.71,4.7,9.6,1873,4.43,8.35,16.48,9.29,,
1874,5.8,4.06,7.03,10.52,10.84,14.65,18.53,16.2,14.49,11.22,5.61,0.61,10,1874,4.86,9.46,16.46,10.44,,
1875,7.1,2,5.48,8.44,13.07,15.56,15.52,17.31,15.74,9.52,5.97,4.29,10.05,1875,3.24,9,16.13,10.41,,
1876,3,5.53,5.24,8.85,10.07,15.38,18.8,17.8,13.58,11.78,6.93,6.8,10.33,1876,4.27,8.05,17.33,10.76,,
1877,6.26,6.69,5.57,8.22,10.02,16.37,16.11,16.19,11.74,9.43,7.55,5.05,9.95,1877,6.58,7.94,16.22,9.57,,
1878,5.07,6.46,5.83,9.8,13.05,16.13,17.41,17.41,13.76,10.74,4.48,0.53,10.07,1878,5.53,9.56,16.98,9.66,,
1879,-0.66,3.6,4.87,5.93,9.05,13.59,14.48,15.22,12.99,9.07,3.76,0.25,7.78,1879,1.16,6.61,14.45,8.64,,
1880,0.16,5.73,7.11,8.42,11.16,13.95,15.94,16.79,15.6,8.52,6.38,6.44,9.77,1880,2.05,8.89,15.58,10.2,,
1881,-1.39,3.7,6.13,7.91,12.29,14.69,17.58,14.96,13.45,7.87,9.35,4.28,9.45,1881,3.08,8.84,15.75,10.43,,
1882,4.96,6.16,8.17,9.28,12.37,13.56,15.97,15.66,12.75,10.17,6.17,4.53,10.2,1882,5.4,10,15.07,9.91,,
1883,5.43,6.73,2.87,9.12,11.67,14.8,15.01,16.36,13.89,10.41,6.42,4.68,9.99,1883,5.83,7.94,15.39,10.45,,
1884,7.01,5.75,6.84,7.28,12.13,14.68,16.98,17.91,15.25,9.64,5.33,4.8,10.52,1884,6.08,8.81,16.53,10.28,,
1885,2.67,6.58,5.21,8.18,9.54,14.78,17.28,14.37,12.8,7.78,5.83,3.57,9.25,1885,4.95,7.7,15.48,9.01,,
1886,1.76,0.88,4.55,8.22,11.36,14.02,16.9,16.57,14.56,11.65,6.27,2.33,9.33,1886,2.33,8.1,15.83,11.03,,
1887,1.8,3.78,3.53,6.61,10.24,15.88,18.19,16.34,12.13,7.27,4.65,2.72,8.82,1887,2.9,6.85,16.81,8.22,,
1888,2.83,1.5,3.8,6.58,11.36,13.94,14.47,14.75,13.13,8.11,7.91,4.71,8.81,1888,2.62,7.3,14.39,9.93,,
1889,2.36,2.57,5.17,7.34,13.14,15.74,15.69,15.18,13.3,9.05,6.72,2.71,9.23,1889,3.4,8.55,15.53,9.78,,
1890,5.85,3.16,6.31,7.42,11.85,14.34,15.28,15.06,15.05,9.77,5.9,-1.99,9.15,1890,4.04,8.53,14.89,10.33,,
1891,1.02,4.21,4.36,6.65,9.88,15.17,15.02,14.44,14.2,9.83,5.62,4.32,8.86,1891,1.22,6.96,14.87,9.97,,
1892,2.12,3.52,2.93,7.97,12.09,13.9,14.63,15.91,12.91,7.49,6.38,1.97,8.61,1892,3.46,7.67,14.81,9.01,,
1893,1.93,5.08,7.67,10.93,13.59,16.01,17.09,18.11,13.72,10.39,4.73,4.46,10.46,1893,3.13,10.73,17.06,9.7,,
1894,3.47,5.26,6.95,9.98,9.77,14.05,16.29,14.74,12.14,9.6,7.81,5.04,9.73,1894,4.53,8.9,15.02,9.94,,
1895,0.47,-1.9,5.94,9.06,13.18,15.58,16.28,16.3,16.16,7.67,8.04,4.22,9.43,1895,1.34,9.39,16.05,10.71,,
1896,4.67,4.57,7.83,9.67,12.45,16.95,17.49,15.11,13.85,7.92,4.51,4.05,10.06,1896,4.62,9.98,16.51,8.85,,
1897,1.66,6.31,7.32,7.83,10.75,15.89,17.36,16.49,12.79,10.21,7.09,4.64,10,1897,4.15,8.63,16.58,10.12,,
1898,6.23,5.11,4.53,8.62,10.81,14.14,16.23,17.43,16.08,11.4,7.35,7.5,10.6,1898,5.46,7.99,15.93,11.7,,
1899,5.54,5.64,5.46,8.62,10.86,16.13,18.58,18.62,14.42,9.29,8.18,2.25,10.44,1899,6.36,8.31,17.77,10.72,,
1900,4.52,3.19,4.01,8.76,10.8,15.05,18.83,15.95,14.38,10.37,7.65,7.43,10.24,1900,3.46,7.86,16.6,10.89,,
1901,3.36,2.38,4.35,9.11,11.84,14.61,18.54,16.47,14.28,10.08,4.71,3.52,9.6,1901,4.52,8.43,16.54,9.78,,
1902,5.05,1.96,7.37,8.06,9.67,14.13,15.76,15.3,13.25,9.81,6.87,4.6,9.48,1902,3.64,8.37,15.06,10.06,,
1903,4.51,7.38,7.67,6.78,11.75,13.2,16.27,14.83,13.73,11.15,6.53,3.5,9.91,1903,5.63,8.73,14.76,10.56,,
1904,3.96,3.83,4.94,9.58,11.57,13.99,18.16,15.8,12.6,9.84,5.02,3.86,9.57,1904,3.9,8.7,15.98,9.24,,
1905,3.17,5.65,7.44,7.94,11.47,15.23,18.4,15.54,13.07,7.53,5.05,4.45,9.72,1905,4.36,8.95,16.38,8.64,,
1906,5.62,3.5,5.66,7.92,11.44,14.77,16.92,18.01,14.89,11.54,7.4,3.25,10.24,1906,4.66,8.34,16.57,11.37,,
1907,3.53,3.16,6.89,8.34,11.67,13.18,14.8,15.16,14.32,10.29,6.98,5.26,9.62,1907,3.45,8.97,14.38,10.62,,
1908,2.39,5.5,4.85,6.4,13.37,15.18,16.88,15.32,13.2,12.07,7.85,3.92,9.88,1908,4.52,8.21,15.79,11.13,,
1909,3.45,2.8,4.11,9.29,11.43,12.48,15.67,16.45,12.61,11.05,5.1,4.49,9.24,1909,3.53,8.28,14.86,9.67,,
1910,3.98,5.53,6.18,8,11.95,15.6,14.74,15.73,13.13,11.26,3.47,6.59,9.83,1910,4.8,8.71,15.35,9.37,,
1911,3.65,5.07,5.56,8.13,13.58,15.25,19.59,19.42,15.41,9.98,6.25,6.73,10.88,1911,5.24,9.09,18.08,10.64,,
1912,4.09,6.11,7.84,9.22,13.22,14.39,16.81,13.54,11.47,8.5,6.43,7.4,10.05,1912,5.78,10.09,14.91,8.89,,
1913,5.15,4.71,6.82,8.39,12.43,14.96,15.52,16.04,14.7,11.7,8.6,5.03,10.49,1913,5.89,9.22,15.5,11.75,,
1914,3.48,6.99,6.66,10.27,11.51,15.4,16.53,16.96,13.88,10.84,6.92,5.15,10.51,1914,5.3,9.48,16.29,10.64,,
1915,4.28,4.64,5.5,8.25,11.83,15.03,15.5,16.45,13.69,9.27,3.43,5.99,9.63,1915,4.83,8.49,15.66,8.89,,
1916,7.64,3.84,3.75,9.13,12.54,11.99,15.92,17.18,13.3,11.38,6.53,1.73,9.68,1916,5.92,8.44,15.04,10.41,,
1917,1.49,1.24,3.29,6.14,13.84,16.1,16.48,15.87,14.62,7.99,7.73,1.88,9.06,1917,1.63,7.82,16.14,10.24,,
1918,3.77,6.31,6.48,7.01,13.55,13.67,16.24,16.45,12.64,9.38,5.58,7.41,10.02,1918,4.13,9.03,15.47,9.23,,
1919,2.85,1.64,4.33,7.5,13.63,15.07,14.35,17.15,13.32,7.13,3.45,5.85,9,1919,4.01,8.48,15.56,8.05,,
1920,5.36,5.79,7.7,8.95,12.46,14.82,14.67,13.82,13.55,10.54,6.21,4.5,10.06,1920,5.95,9.74,14.43,10.27,,
1921,7.44,4.84,7.87,9.02,12.25,15.41,19.73,16.43,15.02,13.38,4.53,6.42,11.21,1921,5.66,9.73,17.21,11.1,,
1922,4.08,4.64,5.25,6.13,14,14.53,14.46,14.1,12.86,8.45,5.5,5.95,9.32,1922,5.17,8.43,14.35,8.98,,
1923,5.25,6.29,6.62,8.12,10.46,13.21,18.49,16.25,13.27,10.44,3.23,4.12,9.7,1923,5.89,8.42,15.91,8.99,,
1924,5.23,3.17,4.71,8.07,12.47,14.73,15.81,14.72,13.97,10.62,7.34,6.82,9.86,1924,4.27,8.41,15.07,10.7,,
1925,5.37,5.78,5.2,7.9,12.33,15.66,17.43,16.03,12.07,11.02,4.53,3.22,9.74,1925,5.93,8.48,16.37,9.21,,
1926,4.49,7.43,6.95,9.65,10.85,14.1,17.22,16.88,15.31,8.55,6.78,4.11,10.2,1926,5.05,9.15,16.06,10.21,,
1927,4.78,4.13,7.98,8.82,12.22,13.38,16.12,16.14,12.98,10.88,6.5,2.13,9.71,1927,4.34,9.68,15.21,10.12,,
1928,5.56,6.2,6.97,8.78,11.43,13.82,17.81,15.95,13.52,10.77,8.03,3.48,10.21,1928,4.63,9.06,15.86,10.77,,
1929,1.3,0.18,6.44,7.14,11.74,13.88,16.97,16.4,16.95,10.17,7.12,6.29,9.61,1929,1.65,8.44,15.75,11.41,,
1930,6.19,2.87,5.81,8.73,11.28,15.98,15.87,16.6,14.2,11.04,6.51,4.45,10,1930,5.12,8.61,16.15,10.58,,
1931,3.66,4.32,4.74,8.24,11.94,15.25,15.86,15.11,12.03,9.28,8.04,5.3,9.51,1931,4.14,8.3,15.41,9.78,,
1932,6.45,2.73,4.98,7.55,11.13,14.34,16.64,18.25,13.71,9.48,6.81,5.85,9.86,1932,4.82,7.89,16.41,10,,
1933,2.3,4.65,8.13,9.45,12.93,15.98,18.72,18.63,15.67,10.33,5.78,1.38,10.36,1933,4.27,10.17,17.78,10.59,,
1934,4.03,3.48,5.43,8.61,12.25,15.83,19.12,16.22,15.4,11.09,6.61,8.2,10.57,1934,2.97,8.76,17.06,11.03,,
1935,4.86,6.14,6.94,8.52,10.27,15.63,18.29,17.74,14.45,10.03,7.34,3.25,10.31,1935,6.4,8.57,17.22,10.61,,
1936,4.43,2.97,7.51,6.8,11.95,15.3,15.82,16.96,15,9.53,5.61,5.36,9.8,1936,3.55,8.75,16.03,10.05,,
1937,5.41,6.46,4.23,9.67,12.83,15,16.88,18.05,14.21,11,5.09,3.34,10.2,1937,5.75,8.91,16.64,10.1,,
1938,6.08,5.1,9.89,7.76,11.2,15.51,16.36,17.21,14.51,10.88,9.87,4.37,10.76,1938,4.84,9.62,16.36,11.75,,
1939,4.84,6.15,6.21,9.47,11.8,14.6,15.91,16.96,15.05,8.88,9.39,3.09,10.21,1939,5.12,9.16,15.82,11.11,,
1940,-1.35,2.92,6.66,9.44,13.23,16.86,15.76,16.61,13.92,9.97,7.26,3.7,9.59,1940,1.56,9.78,16.41,10.38,,
1941,0.88,4.27,5.43,7.18,9.57,15.95,18.32,15.3,14.69,10.53,7.13,5.51,9.59,1941,2.95,7.39,16.52,10.78,,
1942,0.73,0.08,5.64,9.7,11.8,15.48,16.31,17.33,14.31,10.91,5.16,7.04,9.6,1942,2.11,9.05,16.37,10.13,,
1943,5.57,6.11,6.95,11.57,12.94,15.17,17.42,17.13,13.97,10.92,6.35,3.45,10.65,1943,6.24,10.49,16.57,10.41,,
1944,6.1,3.62,5.71,10.99,12.39,14.31,17.29,18.11,13.22,9.88,6.72,3.42,10.17,1944,4.39,9.7,16.57,9.94,,
1945,0.58,7.81,8.5,10.86,13.08,15.22,17.45,16.51,15.04,12.27,7.21,5.31,10.83,1945,3.94,10.81,16.39,11.5,,
1946,3,6.68,5.47,10.54,10.95,13.79,17.46,15.71,14.7,10.38,8.42,3.03,10.02,1946,5,8.99,15.65,11.17,,
1947,2.17,-2.22,4.67,9.51,14.12,16.49,18.14,19.39,15.91,10.68,7.73,5.47,10.25,1947,0.99,9.44,18.01,11.44,,
1948,6.13,5.03,8.75,9.6,11.98,14.19,16.62,15.99,14.86,10.31,7.36,6.21,10.61,1948,5.54,10.11,15.6,10.84,,
1949,5.82,5.92,5.33,10.78,11.66,15.92,18.74,17.76,17.28,12.35,6.68,6.18,11.23,1949,5.98,9.26,17.47,12.1,,
1950,4.22,6.14,7.85,8.35,11.56,16.95,16.63,16.54,13.65,10,6.1,1.38,9.96,1950,5.51,9.25,16.7,9.92,,
1951,4.54,4.12,4.81,7.46,10.5,14.57,17.23,15.82,14.79,9.41,8.94,6,9.88,1951,3.34,7.59,15.87,11.05,,
1952,3.15,3.57,7.21,10.29,14.25,15.49,17.9,16.88,11.43,9.16,4.17,2.67,9.71,1952,4.24,10.58,16.76,8.25,,
1953,3.08,4.23,5.56,7.97,13.05,14.59,16.05,16.96,14.3,10.24,8.56,7.21,10.19,1953,3.33,8.86,15.86,11.03,,
1954,2.93,3.3,6.45,7.78,11.54,14.12,14.98,15.26,13.48,12.52,7.36,7.02,9.77,1954,4.48,8.59,14.79,11.12,,
1955,2.85,1.68,3.51,10.08,10.27,14.67,18.13,18.93,14.68,9.61,7.02,5.8,9.82,1955,3.85,7.96,17.24,10.44,,
1956,3.81,-0.5,6.54,7.37,12.64,13.74,16.69,14.46,14.78,9.7,6.02,5.83,9.3,1956,3.04,8.85,14.96,10.17,,
1957,5.79,6.15,9.75,9.32,10.79,16.15,17.4,16.23,13.29,11.45,6.28,4.51,10.62,1957,5.92,9.95,16.59,10.34,,
1958,3.8,5.64,4.34,7.87,12.18,14.89,16.58,16.48,15.51,11.25,6.7,5.03,10.04,1958,4.65,8.13,15.98,11.15,,
1959,2.12,4.2,7.75,10.24,13.01,15.96,18.36,18.14,15.62,12.57,7.12,6.3,10.99,1959,3.79,10.33,17.49,11.77,,
1960,4.05,4.66,6.83,9.42,13.31,16.85,15.75,15.7,13.78,10.86,7.79,4.38,10.29,1960,5.01,9.85,16.1,10.81,,
1961,4.29,7.68,8.7,10.75,11.77,15.57,16.51,16.6,16,11.29,6.18,2.55,10.67,1961,5.45,10.41,16.23,11.15,,
1962,4.61,4.56,3.28,8.27,10.91,14.57,15.99,15.5,13.23,10.83,5.63,1.34,9.08,1962,3.9,7.48,15.35,9.9,,
1963,-3.01,-0.7,6.43,9.43,11.25,15.48,15.88,14.91,13.59,11.64,8.8,2.45,8.89,1963,-0.79,9.04,15.42,11.34,,
1964,3.35,4.92,4.62,9.09,13.97,14.62,17.32,16.74,15.12,9.09,7.8,3.74,10.04,1964,3.57,9.23,16.23,10.67,,
1965,3.86,3.1,5.94,8.76,12.32,14.99,14.79,15.56,13.02,11.09,4.95,5.29,9.51,1965,3.57,9.01,15.11,9.69,,
1966,2.93,6.76,6.91,8.09,11.72,16.1,15.71,15.51,14.42,11.06,5.59,6.21,10.1,1966,4.99,8.91,15.77,10.36,,
1967,4.88,5.92,7.71,8.39,11.53,14.73,17.91,16.53,14.35,11.54,5.93,4.51,10.36,1967,5.67,9.21,16.39,10.61,,
1968,4.67,2.33,7.12,8.68,10.52,15.64,15.85,15.88,14.54,13.36,6.8,3.09,9.9,1968,3.84,8.77,15.79,11.57,,
1969,6.14,1.64,4.2,8.41,12.3,14.69,18.12,17.15,14.2,13.3,6.08,3.65,10.05,1969,3.62,8.31,16.65,11.19,,
1970,4.23,3.69,4.12,7.55,13.74,17,16.26,16.59,15.31,11.23,8.48,4.19,10.23,1970,3.86,8.47,16.62,11.67,,
1971,4.81,4.71,5.45,8.13,12.34,13.03,18.12,16.5,14.66,11.63,6.38,6.63,10.24,1971,4.57,8.64,15.89,10.89,,
1972,4.2,4.78,7.29,8.76,11.23,12.68,16.37,16.16,12.37,11.1,6.66,6.1,9.83,1972,5.2,9.09,15.07,10.04,,
1973,4.46,4.51,6.58,8.11,12.15,15.89,16.48,17.65,15.34,9.16,6.47,5.29,10.21,1973,5.02,8.95,16.67,10.32,,
1974,6.41,5.85,5.82,8.38,11.46,14.59,16.14,15.97,12.76,7.98,7.52,8.24,10.12,1974,5.85,8.55,15.57,9.42,,
1975,7.21,4.83,5.14,9.05,10.34,15.47,18.61,19.59,14.28,10.34,6.15,4.61,10.51,1975,6.76,8.18,17.89,10.26,,
1976,5.92,4.87,5.32,8.51,13.06,18.49,19.57,17.92,14.28,11.18,6.29,2.12,10.65,1976,5.13,8.97,18.66,10.58,,
1977,3.04,6.07,7.36,7.71,10.89,12.6,16.51,15.91,13.97,11.87,6.68,6.36,9.94,1977,3.74,8.65,15.01,10.84,,
1978,3.42,2.93,7.04,6.75,12.03,14.36,15.78,15.78,14.85,12.13,8.56,4.65,9.9,1978,4.24,8.61,15.31,11.84,,
1979,0.07,1.48,5.22,8.57,10.98,14.84,17.74,16,14.08,11.77,7.19,6.35,9.57,1979,2.07,8.26,16.19,11.01,,
1980,2.5,6.34,5.38,9.31,11.48,14.84,15.43,16.98,15.73,9.5,6.76,5.69,10,1980,5.06,8.73,15.75,10.66,,
1981,4.87,3.24,8.73,8.2,11.96,14.23,16.77,17.43,15.42,8.99,7.87,0.82,9.92,1981,4.6,9.63,16.15,10.76,,
1982,2.73,5.3,6.6,9.33,12.3,17.01,17.39,17,15.34,10.69,8.42,4.79,10.6,1982,2.95,9.41,17.14,11.48,,
1983,7.22,2.02,6.8,7.76,11.28,15.3,21.14,18.42,14.58,11.03,7.76,5.91,10.83,1983,4.67,8.62,18.28,11.12,,
1984,4.51,3.7,5.3,8.63,10.26,15.8,18.06,18.62,14.51,11.76,8.66,5.51,10.46,1984,4.71,8.06,17.49,11.64,,
1985,1,2.34,5.14,9.08,11.51,13.27,17.15,15.55,15.33,11.19,4.58,7.24,9.49,1985,2.95,8.58,15.32,10.36,,
1986,3.92,-1.51,5.66,6.66,11.83,15.55,17.15,14.71,12.02,11.54,8.4,6.49,9.44,1986,3.22,8.05,15.81,10.65,,
1987,0.8,4.07,4.86,10.89,10.81,14.1,16.93,16.75,14.73,10.33,6.65,5.85,9.76,1987,3.79,8.85,15.92,10.57,,
1988,5.69,5.22,7,8.61,12.44,14.5,15.24,16.14,14.17,11.23,5.31,7.75,10.3,1988,5.59,9.35,15.29,10.23,,
1989,6.34,6.46,8.3,7.27,14.13,15.62,19.48,17.89,15.89,12.38,6.5,5.75,11.37,1989,6.85,9.9,17.66,11.59,,
1990,7.25,8.25,8.86,8.45,13.48,14.44,18.03,19.36,14.04,12.55,7.02,4.29,11.36,1990,7.08,10.27,17.28,11.2,,
1991,3.78,1.52,8.28,8.41,11.34,12.9,17.98,18.25,15.35,10.33,7.17,4.26,10.02,1991,3.2,9.34,16.38,10.95,,
1992,3.71,5.51,7.9,9.39,14.4,16.55,17.27,16.53,14.22,8.21,7.83,3.82,10.46,1992,4.49,10.56,16.79,10.09,,
